section,title,icon,description,heading
research,Research,fa-microscope,"Academic research roles across AI discourse, behavioral data, legal/social sentiment, biomedical ML, and microbiome learning.",Research Experience
teaching,Teaching,fa-chalkboard-user,"Sampling I and data ethics teaching support, with emphasis on design-based inference and responsible data science.",Teaching Experience
industry,Industry,fa-laptop-code,"Applied data science internships in travel recommendation, graph learning, and retail recommendation systems.",Industry Experience
