order,name,image,relation,department,link
1,Julia Mendelsohn,images/JuliaRef.webp,PI for my CLIP/CATS research assistant work,"College of Information and Department of Government and Politics; UMIACS/CLIP Lab",https://ischool.umd.edu/directory/julia-mendelsohn/
2,Brian Kim,images/briankimRef.webp,Academic advisor and professor for SURV727 and SURV640,"JPSM; Co-Director, Social Data Science Major",https://jpsm.umd.edu/facultyprofile/kim/brian
3,Raphael Nishimura,images/RaphaelRef.webp,Sampling I professor under whom I served as TA,"Survey Research Operations, University of Michigan ISR",https://src.isr.umich.edu/research/staff/profiles/nishimuraraphael/
